AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,name,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,Radiality,selected,shared name,Stress,TopologicalCoefficient,type
3.279672578444748,0.03786872,0.30490848585690516,0.042857143,30,6,Giuseppe Prezzolini,12.095238095238095,0,30,9,0.9938718479074066,TRUE,Giuseppe Prezzolini,415656,0.058333333333333334,person
3.592769440654843,0.013989381670383813,0.2783368141256883,0.025,17,6,Andrea Ragusa,5.0625,0,17,1,0.99303019,TRUE,Andrea Ragusa,104308,0.074152542,person
4.158253752,0,0.24048556430446194,1,2,7,Gioconda Savini,17,0,2,0,0.9915100705599319,TRUE,Gioconda Savini,0,0.5666666666666667,person
4.117326057298772,1.3017376549700465E-4,0.24287607687210072,0,2,7,Alberto Denti di Pirajno,13,0,2,0,0.9916200912438204,TRUE,Alberto Denti di Pirajno,2544,0.5217391304347826,person
3.680081855388813,0.007304814,0.2717330861909175,0.064102564,15,7,Goffredo Parise,10,0,15,2,0.9927954788833634,TRUE,Goffredo Parise,195132,0.094615385,person
3.1678035470668484,0.039819637,0.3156761412575366,0.038306451612903226,38,7,Cesare Pavese,13.375,0,38,6,0.9941725711100353,TRUE,Cesare Pavese,487842,0.043496622,person
4.024556616643929,0.020285371,0.24847457627118644,0.015789473684210527,22,7,Uguccione Ranieri di Sorbello,3.4,0,22,2,0.9918694714606346,TRUE,Uguccione Ranieri di Sorbello,177004,0.060465116,person
3.398362892223738,0.018946958,0.29425933360096346,0.007905138,25,6,Elma Baccanelli,6.304347826086956,0,25,2,0.9935527879241297,TRUE,Elma Baccanelli,264908,0.062468765617191405,person
3.2162346521145975,0.032597910628644915,0.31092258748674445,0.004761905,22,5,Giovanni Papini,20.80952380952381,0,22,1,0.9940423799674338,TRUE,Giovanni Papini,412006,0.049269213,person
3.909276944065484,0,0.25580177979410224,1,2,6,La Voce,21,0,2,0,0.9921793630535874,TRUE,La Voce,0,0.525,institution
4.278990450204638,0,0.23369998405866413,0,1,7,International Committee on Intellectual Cooperation,21,0,1,0,0.9911855095424607,TRUE,International Committee on Intellectual Cooperation,0,0,institution
4.186903137789905,0,0.2388400130335614,1,2,7,SF Vanni Publishers and Booksellers,18.5,0,2,0,0.9914330560812099,TRUE,SF Vanni Publishers and Booksellers,0,0.5441176470588235,institution
3.9774897680763983,2.7185795387750153E-4,0.2514148516549477,0,2,6,Il Tempo,12.5,0,2,0,0.9919959952471065,TRUE,Il Tempo,2492,0.5,institution
4.278990450204638,0,0.23369998405866413,0,1,7,Il Resto del Carlino,21,0,1,0,0.9911855095424607,TRUE,Il Resto del Carlino,0,0,institution
4.278990450204638,0,0.23369998405866413,0,1,7,Il Borghese,21,0,1,0,0.9911855095424607,TRUE,Il Borghese,0,0,institution
3.9884038199181444,0.014129108985617212,0.25072686847956216,0.021978022,16,7,Italian Academy for Advanced Studies,6.357142857142857,0,16,2,0.9919666563980696,TRUE,Italian Academy for Advanced Studies,152244,0.084415584,institution
4.154843110504775,0.005675781,0.24068297488097193,0.071428571,10,7,The Italian Scene,6.625,0,10,2,0.991519239,TRUE,The Italian Scene,50926,0.14634146341463414,institution
3.1234652114597545,0.045037931,0.3201572395719589,0.003846154,41,6,Italian Quarterly,4.125,0,41,1,0.99429176,TRUE,Italian Quarterly,365016,0.035833333333333335,institution
3.5900409276944067,0.001846645,0.2785483564506935,0.13333333333333333,6,6,Longanesi & C,11.5,0,6,0,0.9930375243879183,TRUE,Longanesi & C,59514,0.2,institution
4.679399727148704,0,0.21370262390670552,0,1,8,Marianne Ceconi Gifford,13,0,1,0,0.9901091405184176,TRUE,Marianne Ceconi Gifford,0,0,person
4.092769440654843,0,0.24433333333333335,1,2,7,Stuart Hood,25,0,2,0,0.9916861036541537,TRUE,Stuart Hood,0,0.5434782608695652,person
3.6916780354706686,0.00187136,0.27087952697708795,0,6,7,Mario Schifano,14.8,0,6,1,0.9927643063562617,TRUE,Mario Schifano,15496,0.2123076923076923,person
3.8451568894952253,0.015397670446206085,0.26006741174383535,0.017543859649122806,21,8,Isabel Quigly,5.578947368421052,0,21,2,0.9923517287916795,TRUE,Isabel Quigly,431176,0.074835526,person
3.490450204638472,0.007449003,0.2864959937463357,0.10714285714285714,8,7,"""Farrar",24.375,0,8,0,0.9933052413853805,TRUE,"""Farrar",74668,0.15665584415584416,
4.052523874488404,0.002703434,0.2467598047466756,0,3,8,Aldo Garzanti Editore,21.666666666666668,0,3,0,0.9917942906599774,TRUE,Aldo Garzanti Editore,26524,0.34444444444444444,institution
3.912005457025921,8.561142208614232E-4,0.25562336530078467,0.1,5,8,Knopf,24.6,0,5,0,0.9921720283413281,TRUE,Knopf,12566,0.25,institution
3.270122783,0.020185001969746024,0.30579891531080516,0.007352941,17,6,Il Corriere della Sera,10.705882352941176,0,17,0,0.993897519,TRUE,Il Corriere della Sera,577600,0.072231834,institution
3.965893587994543,9.77841075426534E-4,0.25214998280013756,0.16666666666666666,4,7,Strega Prize,16.75,0,4,0,0.9920271677742083,TRUE,Strega Prize,10926,0.2708333333333333,institution
3.0252387448840383,0.042364013,0.33055242390078915,0.037786774628879895,43,6,Giulio Einaudi Editore,10.384615384615385,0,43,4,0.9945558098255805,TRUE,Giulio Einaudi Editore,593498,0.044330484,institution
3.5,3.701799411001166E-4,0.2857142857142857,0.3333333333333333,3,6,Giulio Einaudi,26.333333333333332,0,3,0,0.9932795698924731,TRUE,Giulio Einaudi,9488,0.38235294117647056,person
