entry,type
Giuseppe Prezzolini,person
Goffredo Parise,person
Giulio Einaudi Editore,institution
Pier Paolo Pasolini,person
New Directions,institution
Alba de Cespedes,person
Botteghe Oscure,institution
Marguerite Chapin Caetani,person
Uguccione Ranieri di Sorbello,person
Natalia Danesi Murray,person
Antonio Barolini,person
Milena Milani,person
Frank Snowden Jr.,person
Elma Baccanelli,person
Italian Quarterly,institution
Alfred Kazin,person
Longanesi & C.,institution
Rizzoli Editore,institution
Ugo Stille,person
American Academy,institution
Princeton University,institution
Lydia Holland,person
Iris Origo,person
Divagando,institution
Andre Luotto,person
Gregory Corso,person
Lawrence Ferlinghetti,person
Festival of the Two Worlds,institution
William Demby,person
Paolo Milano,person
Nicola Chiaromonte,person
Tempo Presente,institution
Giuseppe Berto,person
Isabel Quigly,person
Primo Levi,person
Giovanni Papini,person
Paolo Volponi,person
Ignazio Silone,person
Tommaso Landolfi,person
Dante Arfelli,person
Congress for Cultural Freedom,institution
Europe-America Groups,institution
John Anthony Ciardi,person
Italian Cultural Institute,institution
Fulbright Program,institution
Darina Laracy Silone,person
Bompiani Editore,institution
Gabriele d'Annunzio,person
Archibald MacLeish,person
Umberto Eco,person
Random House,institution
Andrea Ragusa,person
Harper's Bazaar,institution
The Literary Review,institution
Giuseppe Ungaretti,person
United States Information Agency,institution
Italian Academy for Advanced Studies,institution
United States Information Service,institution
Arnoldo Mondadori Editore,institution
An Anthology of New Italian Writers,institution
Chelsea,institution
The Italian Scene,institution
Michele Cantarella,person
Lorenza Mazzetti,person
Gaia Servadio,person
Oriana Fallaci,person
Cesare Pavese,person
Jack Kerouac,person
Allen Ginsberg,person
William Burroughs,person
Fernanda Pivano,person
Ettore Sottsass,person
Gioconda Savini,person
Alberto Denti di Pirajno,person
La Voce,institution
International Committee on Intellectual Cooperation,institution
Il Tempo,institution
Il Resto del Carlino,institution
Il Borghese,institution
Longanesi & C,institution
Marianne Ceconi Gifford,person
Stuart Hood,person
Mario Schifano,person
"Farrar, Straus & Company",institution
Aldo Garzanti Editore,institution
Knopf,institution
Corriere della Sera,institution
Strega Prize,institution
Giulio Einaudi,person
Leone Ginzburg,person
Ernesto de Martino,person
Gertrude Stein,person
Henry James,person
Herman Melville,person
Renato Poggioli,person
Luigi Einaudi,person
Ernest Hemingway,person
